"TIME","GEO","INDIC_ED","Value"
"2002","European Union (25 countries)","Total public expenditure on education as % of gross national income, for all levels of education combined",":"
"2002","Euro area (15 countries)","Total public expenditure on education as % of GDP, for all levels of education combined","4.99"
"2002","Euro area (15 countries)","Total public expenditure on education as % of GDP, at primary level of education (ISCED 1)","1.07"
"2002","Euro area (15 countries)","Total public expenditure on education as % of GDP, at secondary level of education (ISCED 2-4)","2.32"
"2002","Euro area (15 countries)","Total public expenditure on education as % of GDP, at tertiary level of education (ISCED 5-6)","1.12"
"2002","Euro area (15 countries)","Total public expenditure on education as % of GDP, at pre-primary level of education (ISCED 0) and not allocated by level","0.49"
"2002","Euro area (15 countries)","Expenditure on educational institutions from public sources as % of GDP, for all levels of government combined","4.73"
"2002","Euro area (15 countries)","Public subsidies to the private sector as % of GDP, for all levels of education combined","0.27"
"2002","Euro area (15 countries)","Total public expenditure on education as % of total public expenditure, for all levels of education combined","10.56"
"2002","Euro area (15 countries)","Expenditure on educational institutions from public sources as % of total public expenditure, for all levels of education combined","9.99"
"2002","Euro area (15 countries)","Public subsidies to the private sector as % of total public expenditure, for all levels of education combined","0.57"
"2002","Euro area (15 countries)","Expenditure on educational institutions from private sources as % of GDP, for all levels of education combined","0.58"
"2002","Euro area (15 countries)","Total public expenditure on education as % of gross national income, for all levels of education combined","5.04"
"2002","Euro area (13 countries)","Total public expenditure on education as % of GDP, for all levels of education combined","4.99"
"2002","Euro area (13 countries)","Total public expenditure on education as % of GDP, at primary level of education (ISCED 1)","1.07"
"2002","Euro area (13 countries)","Total public expenditure on education as % of GDP, at secondary level of education (ISCED 2-4)","2.32"
"2002","Euro area (13 countries)","Total public expenditure on education as % of GDP, at tertiary level of education (ISCED 5-6)","1.12"
"2002","Euro area (13 countries)","Total public expenditure on education as % of GDP, at pre-primary level of education (ISCED 0) and not allocated by level","0.49"
"2002","Euro area (13 countries)","Expenditure on educational institutions from public sources as % of GDP, for all levels of government combined","4.73"
"2002","Euro area (13 countries)","Public subsidies to the private sector as % of GDP, for all levels of education combined","0.27"
"2002","Euro area (13 countries)","Total public expenditure on education as % of total public expenditure, for all levels of education combined","10.55"
"2002","Euro area (13 countries)","Expenditure on educational institutions from public sources as % of total public expenditure, for all levels of education combined","9.98"
"2002","Euro area (13 countries)","Public subsidies to the private sector as % of total public expenditure, for all levels of education combined","0.56"
"2002","Euro area (13 countries)","Expenditure on educational institutions from private sources as % of GDP, for all levels of education combined","0.58"
"2002","Euro area (13 countries)","Total public expenditure on education as % of gross national income, for all levels of education combined","5.03"
"2002","Belgium","Total public expenditure on education as % of GDP, for all levels of education combined","6.09"
"2002","Belgium","Total public expenditure on education as % of GDP, at primary level of education (ISCED 1)","1.36"
"2002","Belgium","Total public expenditure on education as % of GDP, at secondary level of education (ISCED 2-4)","2.71"
"2002","Belgium","Total public expenditure on education as % of GDP, at tertiary level of education (ISCED 5-6)","1.32"
"2002","Belgium","Total public expenditure on education as % of GDP, at pre-primary level of education (ISCED 0) and not allocated by level","0.70"
"2002","Belgium","Expenditure on educational institutions from public sources as % of GDP, for all levels of government combined","5.80"
"2002","Belgium","Public subsidies to the private sector as % of GDP, for all levels of education combined","0.29"
"2002","Belgium","Total public expenditure on education as % of total public expenditure, for all levels of education combined","12.23"
"2002","Belgium","Expenditure on educational institutions from public sources as % of total public expenditure, for all levels of education combined","11.65"
"2002","Belgium","Public subsidies to the private sector as % of total public expenditure, for all levels of education combined","0.58"
"2002","Belgium","Expenditure on educational institutions from private sources as % of GDP, for all levels of education combined","0.36"
"2002","Belgium","Total public expenditure on education as % of gross national income, for all levels of education combined","6.01"
"2002","Bulgaria","Total public expenditure on education as % of GDP, for all levels of education combined","3.94"
"2002","Bulgaria","Total public expenditure on education as % of GDP, at primary level of education (ISCED 1)","0.73"
"2002","Bulgaria","Total public expenditure on education as % of GDP, at secondary level of education (ISCED 2-4)","1.72"
"2002","Bulgaria","Total public expenditure on education as % of GDP, at tertiary level of education (ISCED 5-6)","0.81"
"2002","Bulgaria","Total public expenditure on education as % of GDP, at pre-primary level of education (ISCED 0) and not allocated by level","0.67"
"2002","Bulgaria","Expenditure on educational institutions from public sources as % of GDP, for all levels of government combined","3.75"
"2002","Bulgaria","Public subsidies to the private sector as % of GDP, for all levels of education combined","0.18"
"2002","Bulgaria","Total public expenditure on education as % of total public expenditure, for all levels of education combined","9.95"
"2002","Bulgaria","Expenditure on educational institutions from public sources as % of total public expenditure, for all levels of education combined","9.49"
"2002","Bulgaria","Public subsidies to the private sector as % of total public expenditure, for all levels of education combined","0.46"
"2002","Bulgaria","Expenditure on educational institutions from private sources as % of GDP, for all levels of education combined","0.67"
"2002","Bulgaria","Total public expenditure on education as % of gross national income, for all levels of education combined","3.85"
"2002","Czech Republic","Total public expenditure on education as % of GDP, for all levels of education combined","4.15"
"2002","Czech Republic","Total public expenditure on education as % of GDP, at primary level of education (ISCED 1)","0.67"
"2002","Czech Republic","Total public expenditure on education as % of GDP, at secondary level of education (ISCED 2-4)","2.14"
"2002","Czech Republic","Total public expenditure on education as % of GDP, at tertiary level of education (ISCED 5-6)","0.83"
"2002","Czech Republic","Total public expenditure on education as % of GDP, at pre-primary level of education (ISCED 0) and not allocated by level","0.51"
"2002","Czech Republic","Expenditure on educational institutions from public sources as % of GDP, for all levels of government combined","3.94"
"2002","Czech Republic","Public subsidies to the private sector as % of GDP, for all levels of education combined","0.21"
"2002","Czech Republic","Total public expenditure on education as % of total public expenditure, for all levels of education combined","9.10"
"2002","Czech Republic","Expenditure on educational institutions from public sources as % of total public expenditure, for all levels of education combined","8.64"
"2002","Czech Republic","Public subsidies to the private sector as % of total public expenditure, for all levels of education combined","0.46"
"2002","Czech Republic","Expenditure on educational institutions from private sources as % of GDP, for all levels of education combined","0.23"
"2002","Czech Republic","Total public expenditure on education as % of gross national income, for all levels of education combined","4.31"
"2002","Denmark","Total public expenditure on education as % of GDP, for all levels of education combined","8.44"
"2002","Denmark","Total public expenditure on education as % of GDP, at primary level of education (ISCED 1)","1.90"
"2002","Denmark","Total public expenditure on education as % of GDP, at secondary level of education (ISCED 2-4)","2.89"
"2002","Denmark","Total public expenditure on education as % of GDP, at tertiary level of education (ISCED 5-6)","2.70"
"2002","Denmark","Total public expenditure on education as % of GDP, at pre-primary level of education (ISCED 0) and not allocated by level","0.94"
"2002","Denmark","Expenditure on educational institutions from public sources as % of GDP, for all levels of government combined","6.77"
"2002","Denmark","Public subsidies to the private sector as % of GDP, for all levels of education combined","1.67"
"2002","Denmark","Total public expenditure on education as % of total public expenditure, for all levels of education combined","15.46"
"2002","Denmark","Expenditure on educational institutions from public sources as % of total public expenditure, for all levels of education combined","12.40"
"2002","Denmark","Public subsidies to the private sector as % of total public expenditure, for all levels of education combined","3.06"
"2002","Denmark","Expenditure on educational institutions from private sources as % of GDP, for all levels of education combined","0.28"
"2002","Denmark","Total public expenditure on education as % of gross national income, for all levels of education combined","8.54"
"2002","Germany (until 1990 former territory of the FRG)","Total public expenditure on education as % of GDP, for all levels of education combined","4.72"
"2002","Germany (until 1990 former territory of the FRG)","Total public expenditure on education as % of GDP, at primary level of education (ISCED 1)","0.67"
"2002","Germany (until 1990 former territory of the FRG)","Total public expenditure on education as % of GDP, at secondary level of education (ISCED 2-4)","2.40"
"2002","Germany (until 1990 former territory of the FRG)","Total public expenditure on education as % of GDP, at tertiary level of education (ISCED 5-6)","1.16"
"2002","Germany (until 1990 former territory of the FRG)","Total public expenditure on education as % of GDP, at pre-primary level of education (ISCED 0) and not allocated by level","0.49"
"2002","Germany (until 1990 former territory of the FRG)","Expenditure on educational institutions from public sources as % of GDP, for all levels of government combined","4.38"
"2002","Germany (until 1990 former territory of the FRG)","Public subsidies to the private sector as % of GDP, for all levels of education combined","0.35"
"2002","Germany (until 1990 former territory of the FRG)","Total public expenditure on education as % of total public expenditure, for all levels of education combined","9.85"
"2002","Germany (until 1990 former territory of the FRG)","Expenditure on educational institutions from public sources as % of total public expenditure, for all levels of education combined","9.13"
"2002","Germany (until 1990 former territory of the FRG)","Public subsidies to the private sector as % of total public expenditure, for all levels of education combined","0.72"
"2002","Germany (until 1990 former territory of the FRG)","Expenditure on educational institutions from private sources as % of GDP, for all levels of education combined","0.88"
"2002","Germany (until 1990 former territory of the FRG)","Total public expenditure on education as % of gross national income, for all levels of education combined","4.79"
"2002","Estonia","Total public expenditure on education as % of GDP, for all levels of education combined","5.47"
"2002","Estonia","Total public expenditure on education as % of GDP, at primary level of education (ISCED 1)","1.53"
"2002","Estonia","Total public expenditure on education as % of GDP, at secondary level of education (ISCED 2-4)","2.44"
"2002","Estonia","Total public expenditure on education as % of GDP, at tertiary level of education (ISCED 5-6)","1.08"
"2002","Estonia","Total public expenditure on education as % of GDP, at pre-primary level of education (ISCED 0) and not allocated by level","0.42"
"2002","Estonia","Expenditure on educational institutions from public sources as % of GDP, for all levels of government combined","5.03"
"2002","Estonia","Public subsidies to the private sector as % of GDP, for all levels of education combined","0.43"
"2002","Estonia","Total public expenditure on education as % of total public expenditure, for all levels of education combined","15.29"
"2002","Estonia","Expenditure on educational institutions from public sources as % of total public expenditure, for all levels of education combined","14.08"
"2002","Estonia","Public subsidies to the private sector as % of total public expenditure, for all levels of education combined","1.21"
"2002","Estonia","Expenditure on educational institutions from private sources as % of GDP, for all levels of education combined",":"
"2002","Estonia","Total public expenditure on education as % of gross national income, for all levels of education combined","5.70"
"2002","Ireland","Total public expenditure on education as % of GDP, for all levels of education combined","4.27"
"2002","Ireland","Total public expenditure on education as % of GDP, at primary level of education (ISCED 1)","1.39"
"2002","Ireland","Total public expenditure on education as % of GDP, at secondary level of education (ISCED 2-4)","1.63"
"2002","Ireland","Total public expenditure on education as % of GDP, at tertiary level of education (ISCED 5-6)","1.18"
"2002","Ireland","Total public expenditure on education as % of GDP, at pre-primary level of education (ISCED 0) and not allocated by level","0.07"
"2002","Ireland","Expenditure on educational institutions from public sources as % of GDP, for all levels of government combined","3.99"
"2002","Ireland","Public subsidies to the private sector as % of GDP, for all levels of education combined","0.28"
"2002","Ireland","Total public expenditure on education as % of total public expenditure, for all levels of education combined","12.73"
"2002","Ireland","Expenditure on educational institutions from public sources as % of total public expenditure, for all levels of education combined","11.89"
"2002","Ireland","Public subsidies to the private sector as % of total public expenditure, for all levels of education combined","0.85"
"2002","Ireland","Expenditure on educational institutions from private sources as % of GDP, for all levels of education combined","0.28"
"2002","Ireland","Total public expenditure on education as % of gross national income, for all levels of education combined","5.14"
"2002","Greece","Total public expenditure on education as % of GDP, for all levels of education combined","3.57"
"2002","Greece","Total public expenditure on education as % of GDP, at primary level of education (ISCED 1)","0.98"
"2002","Greece","Total public expenditure on education as % of GDP, at secondary level of education (ISCED 2-4)","1.26"
"2002","Greece","Total public expenditure on education as % of GDP, at tertiary level of education (ISCED 5-6)","1.16"
"2002","Greece","Total public expenditure on education as % of GDP, at pre-primary level of education (ISCED 0) and not allocated by level","0.17"
"2002","Greece","Expenditure on educational institutions from public sources as % of GDP, for all levels of government combined","3.50"
"2002","Greece","Public subsidies to the private sector as % of GDP, for all levels of education combined","0.07"
"2002","Greece","Total public expenditure on education as % of total public expenditure, for all levels of education combined","7.93"
"2002","Greece","Expenditure on educational institutions from public sources as % of total public expenditure, for all levels of education combined","7.77"
"2002","Greece","Public subsidies to the private sector as % of total public expenditure, for all levels of education combined","0.16"
"2002","Greece","Expenditure on educational institutions from private sources as % of GDP, for all levels of education combined","0.17"
"2002","Greece","Total public expenditure on education as % of gross national income, for all levels of education combined","3.56"
"2002","Spain","Total public expenditure on education as % of GDP, for all levels of education combined","4.25"
"2002","Spain","Total public expenditure on education as % of GDP, at primary level of education (ISCED 1)","1.10"
"2002","Spain","Total public expenditure on education as % of GDP, at secondary level of education (ISCED 2-4)","1.76"
"2002","Spain","Total public expenditure on education as % of GDP, at tertiary level of education (ISCED 5-6)","0.97"
"2002","Spain","Total public expenditure on education as % of GDP, at pre-primary level of education (ISCED 0) and not allocated by level","0.42"
"2002","Spain","Expenditure on educational institutions from public sources as % of GDP, for all levels of government combined","4.14"
"2002","Spain","Public subsidies to the private sector as % of GDP, for all levels of education combined","0.11"
"2002","Spain","Total public expenditure on education as % of total public expenditure, for all levels of education combined","10.92"
"2002","Spain","Expenditure on educational institutions from public sources as % of total public expenditure, for all levels of education combined","10.63"
"2002","Spain","Public subsidies to the private sector as % of total public expenditure, for all levels of education combined","0.29"
"2002","Spain","Expenditure on educational institutions from private sources as % of GDP, for all levels of education combined","0.54"
"2002","Spain","Total public expenditure on education as % of gross national income, for all levels of education combined","4.31"
"2002","France","Total public expenditure on education as % of GDP, for all levels of education combined","5.90"
"2002","France","Total public expenditure on education as % of GDP, at primary level of education (ISCED 1)","1.16"
"2002","France","Total public expenditure on education as % of GDP, at secondary level of education (ISCED 2-4)","2.87"
"2002","France","Total public expenditure on education as % of GDP, at tertiary level of education (ISCED 5-6)","1.22"
"2002","France","Total public expenditure on education as % of GDP, at pre-primary level of education (ISCED 0) and not allocated by level","0.65"
"2002","France","Expenditure on educational institutions from public sources as % of GDP, for all levels of government combined","5.67"
"2002","France","Public subsidies to the private sector as % of GDP, for all levels of education combined","0.23"
"2002","France","Total public expenditure on education as % of total public expenditure, for all levels of education combined","11.17"
"2002","France","Expenditure on educational institutions from public sources as % of total public expenditure, for all levels of education combined","10.73"
"2002","France","Public subsidies to the private sector as % of total public expenditure, for all levels of education combined","0.43"
"2002","France","Expenditure on educational institutions from private sources as % of GDP, for all levels of education combined","0.56"
"2002","France","Total public expenditure on education as % of gross national income, for all levels of education combined","5.86"
"2002","Croatia","Total public expenditure on education as % of GDP, for all levels of education combined","3.71"
"2002","Croatia","Total public expenditure on education as % of GDP, at primary level of education (ISCED 1)","1.81"
"2002","Croatia","Total public expenditure on education as % of GDP, at secondary level of education (ISCED 2-4)","0.88"
"2002","Croatia","Total public expenditure on education as % of GDP, at tertiary level of education (ISCED 5-6)","0.59"
"2002","Croatia","Total public expenditure on education as % of GDP, at pre-primary level of education (ISCED 0) and not allocated by level","0.44"
"2002","Croatia","Expenditure on educational institutions from public sources as % of GDP, for all levels of government combined","3.71"
"2002","Croatia","Public subsidies to the private sector as % of GDP, for all levels of education combined",":"
"2002","Croatia","Total public expenditure on education as % of total public expenditure, for all levels of education combined",":"
"2002","Croatia","Expenditure on educational institutions from public sources as % of total public expenditure, for all levels of education combined",":"
"2002","Croatia","Public subsidies to the private sector as % of total public expenditure, for all levels of education combined",":"
"2002","Croatia","Expenditure on educational institutions from private sources as % of GDP, for all levels of education combined","0.13"
"2002","Croatia","Total public expenditure on education as % of gross national income, for all levels of education combined","3.77"
"2002","Italy","Total public expenditure on education as % of GDP, for all levels of education combined","4.60"
"2002","Italy","Total public expenditure on education as % of GDP, at primary level of education (ISCED 1)","1.19"
"2002","Italy","Total public expenditure on education as % of GDP, at secondary level of education (ISCED 2-4)","2.17"
"2002","Italy","Total public expenditure on education as % of GDP, at tertiary level of education (ISCED 5-6)","0.85"
"2002","Italy","Total public expenditure on education as % of GDP, at pre-primary level of education (ISCED 0) and not allocated by level","0.39"
"2002","Italy","Expenditure on educational institutions from public sources as % of GDP, for all levels of government combined","4.40"
"2002","Italy","Public subsidies to the private sector as % of GDP, for all levels of education combined","0.20"
"2002","Italy","Total public expenditure on education as % of total public expenditure, for all levels of education combined","9.76"
"2002","Italy","Expenditure on educational institutions from public sources as % of total public expenditure, for all levels of education combined","9.34"
"2002","Italy","Public subsidies to the private sector as % of total public expenditure, for all levels of education combined","0.42"
"2002","Italy","Expenditure on educational institutions from private sources as % of GDP, for all levels of education combined","0.35"
"2002","Italy","Total public expenditure on education as % of gross national income, for all levels of education combined","4.63"
"2002","Cyprus","Total public expenditure on education as % of GDP, for all levels of education combined","6.60"
"2002","Cyprus","Total public expenditure on education as % of GDP, at primary level of education (ISCED 1)","1.81"
"2002","Cyprus","Total public expenditure on education as % of GDP, at secondary level of education (ISCED 2-4)","3.05"
"2002","Cyprus","Total public expenditure on education as % of GDP, at tertiary level of education (ISCED 5-6)","1.39"
"2002","Cyprus","Total public expenditure on education as % of GDP, at pre-primary level of education (ISCED 0) and not allocated by level","0.35"
"2002","Cyprus","Expenditure on educational institutions from public sources as % of GDP, for all levels of government combined","5.87"
"2002","Cyprus","Public subsidies to the private sector as % of GDP, for all levels of education combined","0.73"
"2002","Cyprus","Total public expenditure on education as % of total public expenditure, for all levels of education combined","16.50"
"2002","Cyprus","Expenditure on educational institutions from public sources as % of total public expenditure, for all levels of education combined","14.67"
"2002","Cyprus","Public subsidies to the private sector as % of total public expenditure, for all levels of education combined","1.83"
"2002","Cyprus","Expenditure on educational institutions from private sources as % of GDP, for all levels of education combined","1.41"
"2002","Cyprus","Total public expenditure on education as % of gross national income, for all levels of education combined","6.83"
"2002","Latvia","Total public expenditure on education as % of GDP, for all levels of education combined","5.77"
"2002","Latvia","Total public expenditure on education as % of GDP, at primary level of education (ISCED 1)","1.08"
"2002","Latvia","Total public expenditure on education as % of GDP, at secondary level of education (ISCED 2-4)","3.16"
"2002","Latvia","Total public expenditure on education as % of GDP, at tertiary level of education (ISCED 5-6)","0.85"
"2002","Latvia","Total public expenditure on education as % of GDP, at pre-primary level of education (ISCED 0) and not allocated by level","0.67"
"2002","Latvia","Expenditure on educational institutions from public sources as % of GDP, for all levels of government combined","5.31"
"2002","Latvia","Public subsidies to the private sector as % of GDP, for all levels of education combined","0.45"
"2002","Latvia","Total public expenditure on education as % of total public expenditure, for all levels of education combined","16.03"
"2002","Latvia","Expenditure on educational institutions from public sources as % of total public expenditure, for all levels of education combined","14.77"
"2002","Latvia","Public subsidies to the private sector as % of total public expenditure, for all levels of education combined","1.26"
"2002","Latvia","Expenditure on educational institutions from private sources as % of GDP, for all levels of education combined","0.83"
"2002","Latvia","Total public expenditure on education as % of gross national income, for all levels of education combined","5.75"
"2002","Lithuania","Total public expenditure on education as % of GDP, for all levels of education combined","5.81"
"2002","Lithuania","Total public expenditure on education as % of GDP, at primary level of education (ISCED 1)","1.00"
"2002","Lithuania","Total public expenditure on education as % of GDP, at secondary level of education (ISCED 2-4)","2.63"
"2002","Lithuania","Total public expenditure on education as % of GDP, at tertiary level of education (ISCED 5-6)","1.39"
"2002","Lithuania","Total public expenditure on education as % of GDP, at pre-primary level of education (ISCED 0) and not allocated by level","0.78"
"2002","Lithuania","Expenditure on educational institutions from public sources as % of GDP, for all levels of government combined","5.43"
"2002","Lithuania","Public subsidies to the private sector as % of GDP, for all levels of education combined","0.38"
"2002","Lithuania","Total public expenditure on education as % of total public expenditure, for all levels of education combined","16.42"
"2002","Lithuania","Expenditure on educational institutions from public sources as % of total public expenditure, for all levels of education combined","15.35"
"2002","Lithuania","Public subsidies to the private sector as % of total public expenditure, for all levels of education combined","1.07"
"2002","Lithuania","Expenditure on educational institutions from private sources as % of GDP, for all levels of education combined",":"
"2002","Lithuania","Total public expenditure on education as % of gross national income, for all levels of education combined","5.86"
"2002","Luxembourg","Total public expenditure on education as % of GDP, for all levels of education combined","3.79"
"2002","Luxembourg","Total public expenditure on education as % of GDP, at primary level of education (ISCED 1)","2.01"
"2002","Luxembourg","Total public expenditure on education as % of GDP, at secondary level of education (ISCED 2-4)","1.78"
"2002","Luxembourg","Total public expenditure on education as % of GDP, at tertiary level of education (ISCED 5-6)",":"
"2002","Luxembourg","Total public expenditure on education as % of GDP, at pre-primary level of education (ISCED 0) and not allocated by level",":"
"2002","Luxembourg","Expenditure on educational institutions from public sources as % of GDP, for all levels of government combined","3.72"
"2002","Luxembourg","Public subsidies to the private sector as % of GDP, for all levels of education combined","0.08"
"2002","Luxembourg","Total public expenditure on education as % of total public expenditure, for all levels of education combined","9.13"
"2002","Luxembourg","Expenditure on educational institutions from public sources as % of total public expenditure, for all levels of education combined","8.94"
"2002","Luxembourg","Public subsidies to the private sector as % of total public expenditure, for all levels of education combined","0.18"
"2002","Luxembourg","Expenditure on educational institutions from private sources as % of GDP, for all levels of education combined",":"
"2002","Luxembourg","Total public expenditure on education as % of gross national income, for all levels of education combined","4.57"
"2002","Hungary","Total public expenditure on education as % of GDP, for all levels of education combined","5.39"
"2002","Hungary","Total public expenditure on education as % of GDP, at primary level of education (ISCED 1)","0.96"
"2002","Hungary","Total public expenditure on education as % of GDP, at secondary level of education (ISCED 2-4)","2.29"
"2002","Hungary","Total public expenditure on education as % of GDP, at tertiary level of education (ISCED 5-6)","1.23"
"2002","Hungary","Total public expenditure on education as % of GDP, at pre-primary level of education (ISCED 0) and not allocated by level","0.91"
"2002","Hungary","Expenditure on educational institutions from public sources as % of GDP, for all levels of government combined","4.90"
"2002","Hungary","Public subsidies to the private sector as % of GDP, for all levels of education combined","0.49"
"2002","Hungary","Total public expenditure on education as % of total public expenditure, for all levels of education combined","10.46"
"2002","Hungary","Expenditure on educational institutions from public sources as % of total public expenditure, for all levels of education combined","9.51"
"2002","Hungary","Public subsidies to the private sector as % of total public expenditure, for all levels of education combined","0.94"
"2002","Hungary","Expenditure on educational institutions from private sources as % of GDP, for all levels of education combined","0.55"
"2002","Hungary","Total public expenditure on education as % of gross national income, for all levels of education combined","5.68"
"2002","Malta","Total public expenditure on education as % of GDP, for all levels of education combined","4.22"
"2002","Malta","Total public expenditure on education as % of GDP, at primary level of education (ISCED 1)","1.06"
"2002","Malta","Total public expenditure on education as % of GDP, at secondary level of education (ISCED 2-4)","2.01"
"2002","Malta","Total public expenditure on education as % of GDP, at tertiary level of education (ISCED 5-6)","0.87"
"2002","Malta","Total public expenditure on education as % of GDP, at pre-primary level of education (ISCED 0) and not allocated by level","0.28"
"2002","Malta","Expenditure on educational institutions from public sources as % of GDP, for all levels of government combined","3.80"
"2002","Malta","Public subsidies to the private sector as % of GDP, for all levels of education combined","0.42"
"2002","Malta","Total public expenditure on education as % of total public expenditure, for all levels of education combined","10.13"
"2002","Malta","Expenditure on educational institutions from public sources as % of total public expenditure, for all levels of education combined","9.12"
"2002","Malta","Public subsidies to the private sector as % of total public expenditure, for all levels of education combined","1.01"
"2002","Malta","Expenditure on educational institutions from private sources as % of GDP, for all levels of education combined","0.59"
"2002","Malta","Total public expenditure on education as % of gross national income, for all levels of education combined","4.19"
"2002","Netherlands","Total public expenditure on education as % of GDP, for all levels of education combined","5.22"
"2002","Netherlands","Total public expenditure on education as % of GDP, at primary level of education (ISCED 1)","1.40"
"2002","Netherlands","Total public expenditure on education as % of GDP, at secondary level of education (ISCED 2-4)","2.06"
"2002","Netherlands","Total public expenditure on education as % of GDP, at tertiary level of education (ISCED 5-6)","1.36"
"2002","Netherlands","Total public expenditure on education as % of GDP, at pre-primary level of education (ISCED 0) and not allocated by level","0.40"
"2002","Netherlands","Expenditure on educational institutions from public sources as % of GDP, for all levels of government combined","4.65"
"2002","Netherlands","Public subsidies to the private sector as % of GDP, for all levels of education combined","0.57"
"2002","Netherlands","Total public expenditure on education as % of total public expenditure, for all levels of education combined","11.30"
"2002","Netherlands","Expenditure on educational institutions from public sources as % of total public expenditure, for all levels of education combined","10.07"
"2002","Netherlands","Public subsidies to the private sector as % of total public expenditure, for all levels of education combined","1.23"
"2002","Netherlands","Expenditure on educational institutions from private sources as % of GDP, for all levels of education combined","0.88"
"2002","Netherlands","Total public expenditure on education as % of gross national income, for all levels of education combined","5.18"
"2002","Austria","Total public expenditure on education as % of GDP, for all levels of education combined","5.68"
"2002","Austria","Total public expenditure on education as % of GDP, at primary level of education (ISCED 1)","1.12"
"2002","Austria","Total public expenditure on education as % of GDP, at secondary level of education (ISCED 2-4)","2.64"
"2002","Austria","Total public expenditure on education as % of GDP, at tertiary level of education (ISCED 5-6)","1.28"
"2002","Austria","Total public expenditure on education as % of GDP, at pre-primary level of education (ISCED 0) and not allocated by level","0.63"
"2002","Austria","Expenditure on educational institutions from public sources as % of GDP, for all levels of government combined","5.30"
"2002","Austria","Public subsidies to the private sector as % of GDP, for all levels of education combined","0.37"
"2002","Austria","Total public expenditure on education as % of total public expenditure, for all levels of education combined","11.20"
"2002","Austria","Expenditure on educational institutions from public sources as % of total public expenditure, for all levels of education combined","10.46"
"2002","Austria","Public subsidies to the private sector as % of total public expenditure, for all levels of education combined","0.74"
"2002","Austria","Expenditure on educational institutions from private sources as % of GDP, for all levels of education combined","0.38"
"2002","Austria","Total public expenditure on education as % of gross national income, for all levels of education combined","5.75"
"2002","Poland","Total public expenditure on education as % of GDP, for all levels of education combined","5.41"
"2002","Poland","Total public expenditure on education as % of GDP, at primary level of education (ISCED 1)","1.82"
"2002","Poland","Total public expenditure on education as % of GDP, at secondary level of education (ISCED 2-4)","2.10"
"2002","Poland","Total public expenditure on education as % of GDP, at tertiary level of education (ISCED 5-6)","1.05"
"2002","Poland","Total public expenditure on education as % of GDP, at pre-primary level of education (ISCED 0) and not allocated by level","0.43"
"2002","Poland","Expenditure on educational institutions from public sources as % of GDP, for all levels of government combined","5.28"
"2002","Poland","Public subsidies to the private sector as % of GDP, for all levels of education combined","0.13"
"2002","Poland","Total public expenditure on education as % of total public expenditure, for all levels of education combined","12.23"
"2002","Poland","Expenditure on educational institutions from public sources as % of total public expenditure, for all levels of education combined","11.93"
"2002","Poland","Public subsidies to the private sector as % of total public expenditure, for all levels of education combined","0.30"
"2002","Poland","Expenditure on educational institutions from private sources as % of GDP, for all levels of education combined","0.64"
"2002","Poland","Total public expenditure on education as % of gross national income, for all levels of education combined","5.43"
"2002","Portugal","Total public expenditure on education as % of GDP, for all levels of education combined","5.33"
