Número d'expedient,Codi districte,Nom districte,NK barri,Nom barri,Codi carrer,Nom carrer,Num postal caption,Descripció dia setmana,Dia de setmana,Descripció tipus dia,NK Any,Mes de any,Nom mes,Dia de mes,Hora de dia,Descripció torn,Descripció causa vianant,Número de morts,Número de lesionats lleus,Número de lesionats greus,Número de víctimes,Número de vehicles implicats,Coordenada UTM (Y),Coordenada UTM (X)
2013S008930,10,Sant Martí,102-10-72,Sant Martí de Provençals,30409,Bac de Roda,0194 0194,Dimecres,3,Laboral,2013,12,Desembre,11,19,Tarda,Desconegut,0,0,0,0,2,"4585130,18","432679,34"
2013S000993,10,Sant Martí,102-10-72,Sant Martí de Provençals,30409,Bac de Roda,0201 0201,Divendres,5,Laboral,2013,2,Febrer,8,18,Tarda,Desconegut,0,1,0,1,2,"4585102,64","432661,22"
2013S008066,10,Sant Martí,102-10-72,Sant Martí de Provençals,60807,Cantàbria,0051X0051X,Dimarts,2,Laboral,2013,11,Novembre,12,15,Tarda,Desconegut,0,1,0,1,2,"4585859,78","433038,28"
2013S004396,10,Sant Martí,101-10-65,el Clot,146902,Glòries Catalanes,0017X0017X,Diumenge,7,Laboral,2013,6,Juny,16,15,Tarda,Desconegut,0,2,0,2,2,"4583950,84","431975,88"
2013S007843,10,Sant Martí,101-10-65,el Clot,169409,Corts Catalanes,0859 0859,Dilluns,1,Laboral,2013,11,Novembre,4,08,Matí,Desconegut,0,1,0,1,2,"4584272,87","432421,62"
2013S004791,10,Sant Martí,101-10-64,el Camp de l'Arpa del Clot,209900,Meridiana,0123 0123,Dimarts,2,Laboral,2013,7,Juliol,2,10,Matí,Desconegut,0,1,0,1,3,"4584481,10","432012,88"
2013S003505,10,Sant Martí,101-10-65,el Clot,350308,València,0673 0673,Dimecres,3,Laboral,2013,5,Maig,15,14,Tarda,Desconegut,0,1,0,1,2,"4584955,94","432356,10"
2013S000476,10,Sant Martí,101-10-65,el Clot,209900,Meridiana,0168 0170,Dilluns,1,Laboral,2013,1,Gener,21,12,Matí,Desconegut,0,1,0,1,2,"4584747,07","432067,77"
2013S003022,10,Sant Martí,101-10-65,el Clot,81603,Clot,0174 0174,Divendres,5,Laboral,2013,4,Abril,26,11,Matí,Creuar per fora pas de vianants,0,1,0,1,1,"4584814,98","432302,31"
2013S000986,10,Sant Martí,101-10-65,el Clot,217104,Muntanya,0022 0022,Divendres,5,Laboral,2013,2,Febrer,8,11,Matí,Desconegut,0,0,0,0,1,"4584698,75","432143,98"
2013S001698,10,Sant Martí,102-10-73,la Verneda i la Pau,153205,Guipúscoa,0178 0178,Dimecres,3,Laboral,2013,3,Març,6,14,Tarda,Desconegut,0,1,0,1,2,"4586226,56","433890,19"
2013S002614,10,Sant Martí,103-10-70,el Besòs i el Maresme,701559,Eduard Maristany,0001 0001,Dijous,4,Laboral,2013,4,Abril,11,19,Tarda,Desconegut,0,1,0,1,3,"4584792,14","434788,49"
2013S003058,10,Sant Martí,102-10-73,la Verneda i la Pau,86200,Concili de Trento,0285 0287,Dissabte,6,Laboral,2013,4,Abril,27,12,Matí,Desconegut,0,1,0,1,1,"4585903,59","433715,07"
2013S002520,10,Sant Martí,102-10-72,Sant Martí de Provençals,342503,Treball,0241 0241,Dilluns,1,Laboral,2013,4,Abril,8,17,Tarda,Desconegut,0,2,0,2,2,"4585481,68","433049,58"
2013S001322,10,Sant Martí,102-10-73,la Verneda i la Pau,231557,Estartit,0001 0001,Dimecres,3,Laboral,2013,2,Febrer,20,17,Tarda,Desconegut,0,1,0,1,2,"4585803,06","433337,29"
2013S000891,10,Sant Martí,102-10-73,la Verneda i la Pau,318906,Santander,0063 0063,Dimarts,2,Laboral,2013,2,Febrer,5,14,Tarda,Desconegut,0,1,0,1,2,"4586670,84","433396,99"
2013S000300,10,Sant Martí,102-10-73,la Verneda i la Pau,318906,Santander,0063A0063A,Dilluns,1,Laboral,2013,1,Gener,14,17,Tarda,Desconegut,0,1,0,1,2,"4586682,31","433404,11"
2013S000470,10,Sant Martí,102-10-73,la Verneda i la Pau,208205,Menorca,0033 0033,Dilluns,1,Laboral,2013,1,Gener,21,09,Matí,Desconegut,0,1,0,1,2,"4585878,00","433099,97"
2013S001084,10,Sant Martí,103-10-71,Provençals del Poblenou,242906,Pallars,0409 0419,Dimarts,2,Laboral,2013,2,Febrer,12,13,Matí,Desconegut,0,1,0,1,2,"4584630,03","433960,18"
2013S007571,10,Sant Martí,103-10-71,Provençals del Poblenou,44403,Bolívia,0316 0316,Dijous,4,Laboral,2013,10,Octubre,24,13,Matí,Desconegut,0,1,0,1,2,"4585136,91","433751,84"
2013S003264,10,Sant Martí,103-10-70,el Besòs i el Maresme,186703,Llull,0377 0377B,Diumenge,7,Laboral,2013,5,Maig,5,13,Matí,Desobeir el senyal del semàfor,0,1,0,1,1,"4584681,84","434374,19"
2013S000121,10,Sant Martí,103-10-70,el Besòs i el Maresme,701414,C-31,020840000,Dilluns,1,Laboral,2013,1,Gener,7,12,Matí,Desconegut,0,2,0,2,3,"4585672,93","433913,68"
2013S002056,10,Sant Martí,104-10-68,el Poblenou,186703,Llull,0099 0099,Dimarts,2,Laboral,2013,3,Març,19,13,Matí,Desconegut,0,5,0,5,3,"4583107,54","432803,52"
2013S004211,10,Sant Martí,104-10-68,el Poblenou,700667,Jaume Vicens i Vives,0002 0002,Dilluns,1,Laboral,2013,6,Juny,10,03,Nit,Desconegut,0,0,0,0,2,"4582641,13","433413,89"
2013S006276,10,Sant Martí,103-10-71,Provençals del Poblenou,701414,C-31,020790000,Dijous,4,Laboral,2013,9,Setembre,5,11,Matí,Desconegut,0,0,0,0,1,"4585326,23","433558,67"
2013S006892,10,Sant Martí,103-10-71,Provençals del Poblenou,115603,Espronceda,0201 0201,Diumenge,7,Laboral,2013,9,Setembre,29,16,Tarda,Desconegut,0,2,0,2,3,"4584567,25","432998,63"
2013S006321,10,Sant Martí,103-10-71,Provençals del Poblenou,169409,Corts Catalanes,0890 0890,Divendres,5,Laboral,2013,9,Setembre,6,14,Tarda,Desconegut,0,1,0,1,2,"4584236,82","432459,49"
2013S000209,10,Sant Martí,103-10-71,Provençals del Poblenou,253902,Perú,0140 0142,Dijous,4,Laboral,2013,1,Gener,10,11,Matí,Desconegut,0,4,0,4,2,"4584657,10","433079,88"
2013S003808,10,Sant Martí,103-10-71,Provençals del Poblenou,253902,Perú,0140 0142,Dilluns,1,Laboral,2013,5,Maig,27,11,Matí,Desconegut,0,1,0,1,2,"4584657,10","433079,88"
2013S004914,10,Sant Martí,103-10-71,Provençals del Poblenou,701414,C-31,020710000,Dissabte,6,Laboral,2013,7,Juliol,6,02,Nit,Desconegut,0,1,0,1,2,"4584767,14","432988,19"
2013S007478,10,Sant Martí,103-10-71,Provençals del Poblenou,249304,Pere IV,0511 0511,Dilluns,1,Laboral,2013,10,Octubre,21,15,Tarda,Desconegut,0,1,0,1,2,"4585480,73","433938,03"
2013S000091,10,Sant Martí,103-10-71,Provençals del Poblenou,115603,Espronceda,0151X0151X,Dissabte,6,Laboral,2013,1,Gener,5,20,Tarda,Desconegut,0,2,1,3,2,"4584289,93","433289,93"
2013S004138,10,Sant Martí,103-10-71,Provençals del Poblenou,701414,C-31,020800000,Dijous,4,Laboral,2013,6,Juny,6,19,Tarda,Desconegut,0,1,0,1,2,"4585396,55","433630,16"
2013S004004,10,Sant Martí,104-10-69,Diagonal Mar i el Front Marítim del Poblenou,128106,Fluvià,0093 0093,Dilluns,1,Laboral,2013,6,Juny,3,08,Matí,Desconegut,0,1,0,1,2,"4584278,14","433666,94"
2013S003140,10,Sant Martí,104-10-69,Diagonal Mar i el Front Marítim del Poblenou,242906,Pallars,0363B0363B,Dimarts,2,Laboral,2013,4,Abril,30,20,Tarda,Desconegut,0,1,0,1,1,"4584333,44","433672,68"
2013S007146,10,Sant Martí,104-10-68,el Poblenou,249304,Pere IV,0227 0227,Dimarts,2,Laboral,2013,10,Octubre,8,21,Tarda,Desconegut,0,1,0,1,2,"4584142,86","433146,79"
2013S004543,10,Sant Martí,104-10-68,el Poblenou,701266,Litoral (Llobregat),000790000,Divendres,5,Laboral,2013,6,Juny,21,13,Matí,Desconegut,0,1,0,1,2,"4582701,79","433379,58"
2013S006476,10,Sant Martí,104-10-68,el Poblenou,701266,Litoral (Llobregat),0023S0000,Divendres,5,Laboral,2013,9,Setembre,13,13,Matí,Desconegut,0,1,0,1,3,"4582995,37","433684,02"
2013S006763,10,Sant Martí,105-10-66,el Parc i la Llacuna del Poblenou,171400,Joan d'Àustria,0090 0092,Dimecres,3,Laboral,2013,9,Setembre,25,08,Matí,Desconegut,0,1,0,1,2,"4582882,78","432253,22"
2013S003944,10,Sant Martí,105-10-66,el Parc i la Llacuna del Poblenou,197302,Marina,0091 0095,Divendres,5,Laboral,2013,5,Maig,31,14,Tarda,Desconegut,0,1,0,1,2,"4582765,23","432123,30"
2013S003154,10,Sant Martí,105-10-66,el Parc i la Llacuna del Poblenou,76807,Sardenya,0084 0084,Dimecres,3,Laboral,2013,5,Maig,1,13,Matí,Desobeir el senyal del semàfor,0,1,0,1,1,"4582613,54","432143,03"
2013S008156,10,Sant Martí,105-10-66,el Parc i la Llacuna del Poblenou,330107,Tànger,0099 0099,Divendres,5,Laboral,2013,11,Novembre,15,11,Matí,Desconegut,0,1,0,1,3,"4583825,58","432585,08"
2013S007619,10,Sant Martí,104-10-69,Diagonal Mar i el Front Marítim del Poblenou,175004,Jonquera,0001X0001X,Divendres,5,Laboral,2013,10,Octubre,25,21,Tarda,Desconegut,0,1,0,1,2,"4583515,42","433722,82"
2013S006307,10,Sant Martí,104-10-69,Diagonal Mar i el Front Marítim del Poblenou,143609,Josep Pla,0002 0020,Dijous,4,Laboral,2013,9,Setembre,5,21,Tarda,Desconegut,0,2,0,2,3,"4584271,90","434642,40"
2013S005150,10,Sant Martí,104-10-69,Diagonal Mar i el Front Marítim del Poblenou,700654,Litoral,0086 0086,Dilluns,1,Laboral,2013,7,Juliol,15,15,Tarda,Desconegut,0,1,0,1,2,"4583474,21","434036,79"
2013S003156,10,Sant Martí,104-10-69,Diagonal Mar i el Front Marítim del Poblenou,700892,Garcia Fària,0019X0019X,Dimecres,3,Laboral,2013,5,Maig,1,15,Tarda,Desconegut,0,1,0,1,2,"4583523,94","433939,33"
2013S009140,10,Sant Martí,104-10-69,Diagonal Mar i el Front Marítim del Poblenou,701265,Litoral (Besòs),000650000,Dimecres,3,Laboral,2013,12,Desembre,18,08,Matí,Desconegut,0,1,0,1,2,"4583760,61","434292,00"
2013S008913,10,Sant Martí,104-10-69,Diagonal Mar i el Front Marítim del Poblenou,701278,Taulat,0272 0278,Dimarts,2,Laboral,2013,12,Desembre,10,22,Nit,Desconegut,0,2,0,2,2,"4584584,52","434699,76"
2013S006888,10,Sant Martí,104-10-69,Diagonal Mar i el Front Marítim del Poblenou,701266,Litoral (Llobregat),000650000,Diumenge,7,Laboral,2013,9,Setembre,29,12,Matí,Desconegut,0,3,0,3,2,"4583774,62","434278,22"
2013S003847,10,Sant Martí,105-10-66,el Parc i la Llacuna del Poblenou,146902,Glòries Catalanes,0038X0038X,Dimarts,2,Laboral,2013,5,Maig,28,16,Tarda,Desconegut,0,2,0,2,2,"4583801,08","432132,45"
2013S004397,1,Ciutat Vella,11-1-1,el Raval,198804,Paral·lel,0054 0054,Diumenge,7,Laboral,2013,6,Juny,16,19,Tarda,Desconegut,0,2,0,2,3,"4580730,64","430654,77"
2013S003240,1,Ciutat Vella,11-1-1,el Raval,308301,Sant Oleguer,0017X0017X,Dissabte,6,Laboral,2013,5,Maig,4,13,Matí,Desconegut,0,2,0,2,2,"4580957,75","430755,08"
2013S001419,1,Ciutat Vella,11-1-1,el Raval,28203,Aurora,0014A0014A,Dissabte,6,Laboral,2013,2,Febrer,23,19,Tarda,Desconegut,0,1,0,1,1,"4581117,91","430417,04"
2013S000771,1,Ciutat Vella,11-1-1,el Raval,701265,Litoral (Besòs),001100000,Dijous,4,Laboral,2013,1,Gener,31,18,Tarda,Desconegut,0,1,0,1,2,"4580587,33","431226,75"
2013S003793,1,Ciutat Vella,11-1-1,el Raval,701367,Raval,0030 0030,Diumenge,7,Laboral,2013,5,Maig,26,23,Nit,Desconegut,0,1,0,1,2,"4581024,85","430593,57"
2013S008005,1,Ciutat Vella,11-1-1,el Raval,701367,Raval,0037 0037,Dissabte,6,Laboral,2013,11,Novembre,9,13,Matí,Desconegut,0,1,0,1,2,"4581096,84","430609,74"
2013S001949,10,Sant Martí,105-10-67,la Vila Olímpica del Poblenou,701266,Litoral (Llobregat),000860000,Dijous,4,Laboral,2013,3,Març,14,19,Tarda,Desconegut,0,1,0,1,2,"4582211,00","432878,89"
2013S006337,10,Sant Martí,105-10-67,la Vila Olímpica del Poblenou,701266,Litoral (Llobregat),000870000,Dijous,4,Laboral,2013,9,Setembre,5,17,Tarda,Desconegut,0,1,0,1,2,"4582141,72","432806,75"
2013S005293,10,Sant Martí,105-10-67,la Vila Olímpica del Poblenou,700654,Litoral,9993 9993,Divendres,5,Laboral,2013,7,Juliol,19,20,Tarda,Desconegut,0,0,0,0,2,"4582096,90","432817,78"
2013S006051,10,Sant Martí,105-10-67,la Vila Olímpica del Poblenou,700662,Salvador Espriu,0083 0083,Divendres,5,Laboral,2013,8,Agost,23,10,Matí,Desconegut,0,1,0,1,2,"4582565,55","433169,18"
2013S002558,10,Sant Martí,105-10-67,la Vila Olímpica del Poblenou,62609,Icària,0135 0135,Dimecres,3,Laboral,2013,4,Abril,10,10,Matí,Desconegut,0,1,0,1,2,"4582379,83","432733,25"
2013S009226,10,Sant Martí,105-10-67,la Vila Olímpica del Poblenou,700664,Arquitecte Sert,0003 0003,Divendres,5,Laboral,2013,12,Desembre,20,07,Matí,Desconegut,0,1,0,1,2,"4582398,95","433096,33"
2013S003017,1,Ciutat Vella,11-1-1,el Raval,198804,Paral·lel,0002 0002,Divendres,5,Laboral,2013,4,Abril,26,04,Nit,Desconegut,0,1,0,1,2,"4580693,53","431028,49"
2013S009044,10,Sant Martí,105-10-67,la Vila Olímpica del Poblenou,132908,Ramon Trias Fargas,0025 0027,Dissabte,6,Laboral,2013,12,Desembre,14,19,Tarda,Desconegut,0,1,0,1,3,"4582367,99","432352,42"
2013S007713,10,Sant Martí,105-10-67,la Vila Olímpica del Poblenou,367504,Doctor Trueta,0022 0022,Dimarts,2,Laboral,2013,10,Octubre,29,18,Tarda,Desconegut,0,1,0,1,2,"4582451,96","432548,62"
2013S009393,10,Sant Martí,105-10-67,la Vila Olímpica del Poblenou,700813,Doctor Aiguader,0089 0089,Divendres,5,Laboral,2013,12,Desembre,27,17,Tarda,Desconegut,0,1,0,1,2,"4581972,57","432574,63"
2013S001233,1,Ciutat Vella,12-1-2,el Barri Gòtic,34308,Rambla,0132 0132,Dilluns,1,Laboral,2013,2,Febrer,18,10,Matí,Desconegut,0,1,0,1,2,"4581775,82","430686,76"
2013S001502,1,Ciutat Vella,12-1-2,el Barri Gòtic,74404,Catalunya,0017 0017,Dimarts,2,Laboral,2013,2,Febrer,26,17,Tarda,Desconegut,0,1,0,1,2,"4582009,39","430724,06"
2013S006506,1,Ciutat Vella,12-1-2,el Barri Gòtic,246204,Parc,0005 0005,Dissabte,6,Laboral,2013,9,Setembre,14,13,Matí,Desconegut,0,1,0,1,2,"4580973,68","431318,53"
2013S006057,1,Ciutat Vella,12-1-2,el Barri Gòtic,34308,Rambla,0038 0038,Dimecres,3,Laboral,2013,8,Agost,21,13,Matí,Desconegut,0,1,0,1,2,"4581159,43","431063,12"
2013S003423,1,Ciutat Vella,12-1-2,el Barri Gòtic,701265,Litoral (Besòs),001060000,Diumenge,7,Laboral,2013,5,Maig,12,12,Matí,Desconegut,0,2,0,2,2,"4580945,87","431387,63"
2013S004208,1,Ciutat Vella,12-1-2,el Barri Gòtic,177101,Laietana,0017 0017,Diumenge,7,Laboral,2013,6,Juny,9,19,Tarda,Desconegut,0,1,0,1,2,"4581642,37","431381,04"
2013S001823,1,Ciutat Vella,12-1-2,el Barri Gòtic,82901,Colom,0003 0003,Diumenge,7,Laboral,2013,3,Març,10,20,Tarda,Altres,0,1,0,1,1,"4581359,33","431546,94"
2013S002466,1,Ciutat Vella,12-1-2,el Barri Gòtic,82901,Colom,0006 0006,Dissabte,6,Laboral,2013,4,Abril,6,03,Nit,Desconegut,0,0,0,0,2,"4581326,63","431529,65"
2013S007394,1,Ciutat Vella,11-1-1,el Raval,250904,Pelai,0012 0012,Divendres,5,Laboral,2013,10,Octubre,18,06,Matí,Desconegut,0,1,0,1,3,"4581914,66","430239,33"
2013S008880,1,Ciutat Vella,11-1-1,el Raval,167108,Jerusalem,0013 0013,Dilluns,1,Laboral,2013,12,Desembre,9,22,Nit,Desconegut,0,1,0,1,1,"4581510,91","430633,52"
2013S002351,1,Ciutat Vella,11-1-1,el Raval,349207,Universitat,0009 0010,Dimarts,2,Laboral,2013,4,Abril,2,08,Matí,Desconegut,0,1,0,1,2,"4581915,66","430167,83"
2013S003818,1,Ciutat Vella,11-1-1,el Raval,67307,Carme,0026 0026,Dilluns,1,Laboral,2013,5,Maig,27,12,Matí,Desconegut,0,0,0,0,1,"4581529,15","430621,06"
2013S002690,1,Ciutat Vella,13-1-3,la Barceloneta,700813,Doctor Aiguader,0010 0012,Diumenge,7,Laboral,2013,4,Abril,14,18,Tarda,Desconegut,0,2,0,2,2,"4581536,90","432076,13"
2013S005024,1,Ciutat Vella,14-1-4,"Sant Pere, Santa Caterina i la Ribera",163504,Isabel II,0002 0002,Dimecres,3,Laboral,2013,7,Juliol,10,18,Tarda,Desconegut,0,1,0,1,2,"4581414,99","431649,18"
2013S001990,1,Ciutat Vella,14-1-4,"Sant Pere, Santa Caterina i la Ribera",163504,Isabel II,0002 0002,Dissabte,6,Laboral,2013,3,Març,16,12,Matí,Desconegut,0,1,0,1,2,"4581414,99","431649,18"
2013S005946,1,Ciutat Vella,14-1-4,"Sant Pere, Santa Caterina i la Ribera",163504,Isabel II,0014B0014B,Dissabte,6,Laboral,2013,8,Agost,17,20,Tarda,Desconegut,0,1,0,1,2,"4581519,65","431716,96"
2013S007329,1,Ciutat Vella,14-1-4,"Sant Pere, Santa Caterina i la Ribera",240707,Palau,0014 0014,Dimarts,2,Laboral,2013,10,Octubre,15,15,Tarda,Desconegut,0,1,0,1,2,"4581626,37","431733,51"
2013S003970,1,Ciutat Vella,13-1-3,la Barceloneta,197302,Marina,0013 0013,Dissabte,6,Laboral,2013,6,Juny,1,05,Nit,Desconegut,0,1,0,1,1,"4581988,43","432876,43"
2013S003487,1,Ciutat Vella,13-1-3,la Barceloneta,150003,Grau i Torras,0046 0048,Diumenge,7,Laboral,2013,4,Abril,14,10,Matí,Desconegut,0,0,1,1,1,"4581076,95","432326,20"
2013S006263,1,Ciutat Vella,13-1-3,la Barceloneta,197903,Marítim de la Barceloneta,0018 0018,Dilluns,1,Laboral,2013,9,Setembre,2,20,Tarda,Desconegut,0,2,0,2,1,"4581635,45","432710,24"
2013S006035,1,Ciutat Vella,13-1-3,la Barceloneta,197903,Marítim de la Barceloneta,0031B0031B,Dijous,4,Laboral,2013,8,Agost,22,14,Tarda,Creuar per fora pas de vianants,0,1,0,1,1,"4581758,21","432725,60"
2013S005605,1,Ciutat Vella,12-1-2,el Barri Gòtic,177101,Laietana,0047 0047,Dimecres,3,Laboral,2013,7,Juliol,31,20,Tarda,Desconegut,0,2,0,2,2,"4582029,78","431002,04"
2013S009332,1,Ciutat Vella,12-1-2,el Barri Gòtic,177101,Laietana,0047 0047,Dilluns,1,Laboral,2013,12,Desembre,23,22,Nit,Desconegut,0,1,0,1,2,"4582029,78","431002,04"
2013S002837,1,Ciutat Vella,13-1-3,la Barceloneta,700654,Litoral,0012 0014,Divendres,5,Laboral,2013,4,Abril,19,19,Tarda,Desconegut,0,2,0,2,2,"4581952,16","432701,87"
2013S008443,1,Ciutat Vella,13-1-3,la Barceloneta,701266,Litoral (Llobregat),000930000,Dimecres,3,Laboral,2013,11,Novembre,13,08,Matí,Desconegut,0,1,0,1,2,"4581755,40","432353,48"
2013S006431,1,Ciutat Vella,13-1-3,la Barceloneta,701266,Litoral (Llobregat),0022S0000,Dijous,4,Laboral,2013,9,Setembre,12,02,Nit,Desconegut,0,0,0,0,2,"4582033,58","432693,16"
2013S000472,1,Ciutat Vella,13-1-3,la Barceloneta,324807,Sevilla,0054 0056,Dilluns,1,Laboral,2013,1,Gener,21,11,Matí,Desconegut,0,0,0,0,3,"4580978,62","432244,82"
2013S000248,1,Ciutat Vella,14-1-4,"Sant Pere, Santa Caterina i la Ribera",177101,Laietana,0046A0046A,Divendres,5,Laboral,2013,1,Gener,11,13,Matí,Desconegut,0,1,0,1,1,"4581996,52","431064,64"
2013S002173,2,Eixample,21-2-10,Sant Antoni,127704,Floridablanca,0022 0022,Divendres,5,Laboral,2013,3,Març,22,20,Tarda,Desconegut,0,1,0,1,2,"4580826,04","429363,58"
2013S003477,1,Ciutat Vella,14-1-4,"Sant Pere, Santa Caterina i la Ribera",342900,Trafalgar,0074 0074,Dimarts,2,Laboral,2013,5,Maig,14,14,Tarda,Desconegut,0,1,0,1,2,"4582448,90","431367,98"
2013S005574,1,Ciutat Vella,14-1-4,"Sant Pere, Santa Caterina i la Ribera",134506,Freixures,0002 0002,Dimecres,3,Laboral,2013,7,Juliol,31,00,Nit,Desconegut,0,1,0,1,2,"4581972,17","431240,20"
2013S004926,1,Ciutat Vella,14-1-4,"Sant Pere, Santa Caterina i la Ribera",359109,Lluís Companys,0012 0012,Dissabte,6,Laboral,2013,7,Juliol,6,14,Tarda,Desconegut,0,1,0,1,1,"4582375,84","431691,49"
2013S007557,1,Ciutat Vella,14-1-4,"Sant Pere, Santa Caterina i la Ribera",201400,Picasso,0024 0024,Dimecres,3,Laboral,2013,10,Octubre,23,13,Matí,Desconegut,0,1,0,1,2,"4582034,24","431746,48"
2013S003513,2,Eixample,22-2-9,la Nova Esquerra de l'Eixample,18505,Aragó,0125 0125,Dimecres,3,Laboral,2013,5,Maig,15,17,Tarda,Desconegut,0,1,0,1,2,"4581711,56","429230,47"
2013S001984,2,Eixample,22-2-9,la Nova Esquerra de l'Eixample,169409,Corts Catalanes,0517 0517,Divendres,5,Laboral,2013,3,Març,15,21,Tarda,Desconegut,0,1,0,1,3,"4581504,74","429592,10"
2013S001977,2,Eixample,22-2-9,la Nova Esquerra de l'Eixample,110803,Entença,0153 0153,Divendres,5,Laboral,2013,3,Març,15,18,Tarda,Desconegut,0,1,0,1,2,"4581608,37","428608,34"
2013S002713,2,Eixample,22-2-9,la Nova Esquerra de l'Eixample,361406,Viladomat,0166 0166,Dilluns,1,Laboral,2013,4,Abril,15,16,Tarda,Desconegut,0,1,0,1,4,"4581655,34","429162,36"
2013S003697,2,Eixample,22-2-9,la Nova Esquerra de l'Eixample,361406,Viladomat,0126 0126,Dijous,4,Laboral,2013,5,Maig,23,13,Matí,Transitar a peu per la calçada,0,1,0,1,1,"4581399,87","429404,35"
2013S006623,2,Eixample,22-2-9,la Nova Esquerra de l'Eixample,361406,Viladomat,0209 0209,Dijous,4,Laboral,2013,9,Setembre,19,08,Matí,Desconegut,0,1,0,1,2,"4581832,99","428949,49"
2013S008749,2,Eixample,22-2-9,la Nova Esquerra de l'Eixample,100800,Diputació,0082B0082B,Dimecres,3,Laboral,2013,12,Desembre,4,17,Tarda,Desconegut,0,1,0,1,2,"4581320,98","429244,98"
2013S000090,2,Eixample,22-2-9,la Nova Esquerra de l'Eixample,287201,Roma,0043 0047,Dissabte,6,Laboral,2013,1,Gener,5,16,Tarda,Desconegut,0,1,0,1,2,"4581536,66","428641,18"
2013S006808,2,Eixample,22-2-9,la Nova Esquerra de l'Eixample,87009,Comte Borrell,0176B0176B,Dijous,4,Laboral,2013,9,Setembre,26,12,Matí,Desconegut,0,1,0,1,2,"4581751,63","429247,79"
2013S003752,2,Eixample,22-2-9,la Nova Esquerra de l'Eixample,110803,Entença,0084 0086,Dissabte,6,Laboral,2013,5,Maig,25,12,Matí,Desconegut,0,1,0,1,2,"4581237,88","429001,32"
2013S006542,2,Eixample,22-2-9,la Nova Esquerra de l'Eixample,350308,València,0036 0036,Dilluns,1,Laboral,2013,9,Setembre,16,15,Tarda,Desconegut,0,1,0,1,2,"4581316,61","428668,81"
2013S000102,2,Eixample,22-2-9,la Nova Esquerra de l'Eixample,110803,Entença,0202 0204,Diumenge,7,Laboral,2013,1,Gener,6,18,Tarda,Desconegut,0,1,0,1,2,"4581868,87","428383,97"
2013S000148,2,Eixample,22-2-9,la Nova Esquerra de l'Eixample,90502,Còrsega,0048 0048,Dimarts,2,Laboral,2013,1,Gener,8,09,Matí,Desconegut,0,2,0,2,2,"4581739,30","428336,92"
2013S001947,2,Eixample,22-2-9,la Nova Esquerra de l'Eixample,287201,Roma,0066 0068,Dijous,4,Laboral,2013,3,Març,14,22,Nit,Desconegut,0,1,0,1,2,"4581574,37","428813,42"
